,episode,reward
432,432,-6209.264068709822
433,433,-2818.7774354687954
434,434,-6025.512710348706
435,435,-3149.932565781736
436,436,-1625.4183513738863
437,437,-8729.842167141735
438,438,-4749.91249832975
439,439,-8210.291706923606
440,440,-4094.7105565058964
441,441,-3760.0221139200708
442,442,-6572.9762579515445
443,443,-7053.795669090338
444,444,-6077.165574954444
445,445,-2236.781889099451
446,446,832.362954351195
447,447,-364.0937473671552
448,448,640.8498339215644
449,449,-4368.296427283935
450,450,8381.025747998618
451,451,-2530.2721423406097
452,452,-3245.6970879738
453,453,-3398.266793350368
454,454,-2733.8062803088933
455,455,-2298.8894200483473
456,456,-2333.760973258294
457,457,-4520.259525901383
458,458,-3555.832982863516
459,459,-3119.5128623032956
460,460,-2721.422378665625
461,461,-3105.5777165822738
462,462,-3072.967429883673
463,463,-3158.347753606783
464,464,-6927.905901328529
465,465,-4778.106386564749
466,466,-4204.858451230683
467,467,-5369.929560039647
468,468,-2764.9893628137766
469,469,3298.825797036749
470,470,2462.7057654013693
471,471,-1473.5137135730183
472,472,-3041.1943046383312
473,473,-2980.063280402947
474,474,-3423.052743622637
475,475,997.2658027141294
476,476,3547.8986590985614
477,477,-2638.9520006802313
478,478,-4576.768047614867
479,479,-1019.8455199655771
480,480,1441.7618830097595
481,481,-1148.3737856993203
482,482,-2218.0393506486685
483,483,-1466.5330471906236
484,484,516.6350789476685
485,485,-3448.4027878169936
486,486,984.4903251702817
487,487,-3630.8933185474116
488,488,-1928.6981994702012
489,489,-1813.1689514313398
490,490,-330.8063006049954
491,491,-4966.644460642375
492,492,-4107.504131546539
493,493,-2679.048525152671
494,494,-3538.6582971750504
495,495,-5566.717862730858
496,496,2430.7471902010047
497,497,-3781.6929361746634
498,498,-321.0378467458863
499,499,-427.3830356084036
500,500,-2846.233451214651
501,501,42.772708625848736
502,502,-681.0663257178321
503,503,-677.5062546587214
504,504,-1521.9686316367035
505,505,-685.0754466511373
506,506,5406.2134228773775
507,507,2317.4794196896864
508,508,-1546.1091277052956
509,509,-538.3779423826782
510,510,1745.838816827783
511,511,6188.055913146983
512,512,697.0029998967289
513,513,571.7781747775515
514,514,3208.4886230186503
515,515,-2198.502686265439
516,516,-2590.682607979088
517,517,-2510.3695012512007
518,518,-433.22445409682246
519,519,-3515.576386714657
520,520,3163.1154035630443
521,521,-1336.723498863641
522,522,-2214.033652039771
523,523,-2184.369647685916
524,524,5148.141800917432
525,525,-2129.706967845239
526,526,1466.2246863491118
527,527,-1654.350414604612
528,528,-2027.9629565933517
529,529,-675.0117572548661
