,x,y
0,-2.0000000033609653,-2.0000000026348146
1,-1.9930000033609654,-2.0010000026348145
2,-2.0000000033609653,-2.0000000026348146
3,-1.9930000033609654,-2.0010000026348145
4,-2.0000000033609653,-2.0000000026348146
5,-1.9930000033609654,-2.0010000026348145
6,-1.9930000033094364,-2.0010000025520096
7,-1.9860000033094365,-2.0020000025520095
8,-1.986000002629645,-2.00200000237576
9,-1.979000002629645,-2.0030000023757597
10,-1.9790000027446237,-2.003000002275786
11,-1.9720000027446238,-2.004000002275786
12,-1.9720000035686087,-2.0040000023859474
13,-1.9650000035686088,-2.0050000023859473
14,-1.9649999949646972,-2.0050000024960077
15,-1.9579999949646973,-2.0060000024960076
16,-1.9580000035067537,-2.0060000022894116
17,-1.9510000035067538,-2.0070000022894114
18,-2.0,-2.0
19,-1.993,-2.001
20,-1.9930000033832247,-2.001000002480151
21,-1.9860000033832248,-2.002000002480151
22,-1.9860000032820035,-2.0020000025939186
23,-1.9790000032820037,-2.0030000025939185
24,-1.9790000032824213,-2.0030000025686
25,-1.9720000032824214,-2.0040000025686
26,-1.9720000032828429,-2.0040000025685987
27,-1.965000003282843,-2.0050000025685986
28,-1.9650000032832304,-2.005000002593917
29,-1.9580000032832305,-2.006000002593917
30,-1.958000003283618,-2.0060000025685985
31,-1.9510000032836181,-2.0070000025685983
32,-1.9510000032839678,-2.0070000025939168
33,-1.944000003283968,-2.0080000025939166
34,-1.9440000032843554,-2.0080000025685982
35,-1.9370000032843555,-2.009000002568598
36,-1.9370000032847468,-2.009000002568597
37,-1.9300000032847469,-2.0100000025685967
38,-1.9300000032851419,-2.010000002593915
39,-1.923000003285142,-2.011000002593915
40,-1.9230000032855445,-2.0110000025685966
41,-1.9160000032855447,-2.0120000025685965
42,-1.916000003285951,-2.012000002568595
43,-1.909000003285951,-2.013000002568595
44,-1.9090000032863574,-2.0130000025685937
45,-1.9020000032863575,-2.0140000025685936
46,-1.9020000032867714,-2.0140000025685922
47,-1.8950000032867715,-2.015000002568592
48,-1.8950000032871854,-2.015000002568591
49,-1.8880000032871855,-2.0160000025685907
50,-1.8880000032876032,-2.016000002593909
51,-1.8810000032876033,-2.017000002593909
52,-1.8810000032879908,-2.0170000025685906
53,-1.8740000032879909,-2.0180000025685905
54,-1.8740000032883783,-2.018000002593909
55,-1.8670000032883785,-2.0190000025939088
56,-1.867000003288766,-2.0190000025685904
57,-1.860000003288766,-2.0200000025685902
58,-1.8600000032891573,-2.020000002568589
59,-1.8530000032891574,-2.021000002568589
60,-1.8530000032895448,-2.021000002593907
61,-1.846000003289545,-2.022000002593907
62,-1.84600000328994,-2.0220000025685887
63,-1.83900000328994,-2.0230000025685886
64,-1.8390000032903426,-2.023000002593907
65,-1.8320000032903427,-2.024000002593907
66,-1.8320000032907378,-2.0240000025685885
67,-1.8250000032907379,-2.0250000025685884
68,-1.8250000032911367,-2.025000002568587
69,-1.8180000032911368,-2.026000002568587
70,-1.8180000032915469,-2.0260000025939053
71,-1.811000003291547,-2.0270000025939052
72,-1.811000003291957,-2.027000002568587
73,-1.8040000032919572,-2.0280000025685867
74,-1.804000003292371,-2.0280000025685854
75,-1.7970000032923712,-2.0290000025685853
76,-1.7970000032927889,-2.0290000025939037
77,-1.790000003292789,-2.0300000025939036
78,-1.7900000032933576,-2.030000002568585
79,-1.7830000032933577,-2.031000002568585
80,-1.7830000032937452,-2.0310000025939035
81,-1.7760000032937453,-2.0320000025939033
82,-1.7760000032941365,-2.0320000025939047
83,-1.7690000032941366,-2.0330000025939046
84,-1.769000003294528,-2.033000002593906
85,-1.762000003294528,-2.034000002593906
86,-1.7620000032949306,-2.0340000025685874
87,-1.7550000032949307,-2.0350000025685873
88,-1.7550000032953332,-2.0350000025939057
89,-1.7480000032953333,-2.0360000025939056
90,-1.7480000032957435,-2.036000002568587
91,-1.7410000032957436,-2.037000002568587
92,-1.7410000032961537,-2.0370000025939055
93,-1.7340000032961538,-2.0380000025939053
94,-1.7340000032965677,-2.0380000025939067
95,-1.7270000032965678,-2.0390000025939066
96,-1.727000003296993,-2.039000002568588
97,-1.720000003296993,-2.040000002568588
98,-1.7200000032973806,-2.0400000025939065
99,-1.7130000032973807,-2.0410000025939063
100,-1.713000003297772,-2.0410000025939077
101,-1.706000003297772,-2.0420000025939076
102,-1.706000003298167,-2.042000002568589
103,-1.6990000032981671,-2.043000002568589
104,-1.6990000032985697,-2.0430000025939075
105,-1.6920000032985698,-2.0440000025939074
106,-1.69200000329898,-2.044000002568589
107,-1.68500000329898,-2.045000002568589
108,-1.6850000032993864,-2.0450000025685875
109,-1.6780000032993865,-2.0460000025685874
110,-1.6780000032998041,-2.046000002593906
111,-1.6710000032998042,-2.0470000025939057
112,-1.6710000033001917,-2.0470000025685873
113,-1.6640000033001918,-2.048000002568587
114,-1.664000003300583,-2.048000002568586
115,-1.6570000033005832,-2.0490000025685857
116,-1.6570000033009669,-2.0490000025685844
117,-1.650000003300967,-2.0500000025685843
118,-1.650000003301362,-2.0500000025939027
119,-1.643000003301362,-2.0510000025939026
120,-1.6430000033017647,-2.051000002568584
121,-1.6360000033017648,-2.052000002568584
122,-1.6360000033021673,-2.0520000025939025
123,-1.6290000033021674,-2.0530000025939024
124,-1.6290000033025775,-2.053000002568584
125,-1.6220000033025777,-2.054000002568584
126,-1.6220000033029915,-2.0540000025685825
127,-1.6150000033029916,-2.0550000025685824
128,-1.6150000033034055,-2.055000002568581
129,-1.6080000033034056,-2.056000002568581
130,-1.6080000033038233,-2.0560000025938994
131,-1.6010000033038234,-2.0570000025938993
132,-1.601000003304241,-2.057000002568581
133,-1.5940000033042412,-2.0580000025685807
134,-1.5940000033046626,-2.0580000025685794
135,-1.5870000033046627,-2.0590000025685793
136,-1.5870000033050464,-2.059000002568578
137,-1.5800000033050465,-2.060000002568578
138,-1.580000003305434,-2.0600000025938963
139,-1.573000003305434,-2.061000002593896
140,-1.5730000033059877,-2.0610000025685777
141,-1.5660000033059878,-2.0620000025685776
142,-1.5660000033064205,-2.062000002593896
143,-1.5590000033064206,-2.063000002593896
144,-1.5590000033068194,-2.0630000025938973
145,-1.5520000033068195,-2.064000002593897
146,-1.552000003307222,-2.0640000025685787
147,-1.5450000033072222,-2.0650000025685786
148,-1.545000003307621,-2.0650000025685773
149,-1.538000003307621,-2.066000002568577
150,-1.5380000033080237,-2.0660000025938956
151,-1.5310000033080238,-2.0670000025938955
152,-1.5310000033084263,-2.067000002568577
153,-1.5240000033084264,-2.068000002568577
154,-1.5240000033088252,-2.0680000025685756
155,-1.5170000033088253,-2.0690000025685755
156,-1.5170000033092506,-2.069000002593894
157,-1.5100000033092507,-2.070000002593894
158,-1.5100000033098155,-2.070000002593895
159,-1.5030000033098156,-2.071000002593895
160,-1.503000003310388,-2.0710000025938964
161,-1.4960000033103882,-2.0720000025938963
