,x,y,z
0,0,95.112,8.54
1,1,71.249,6.844
2,2,70.846,6.703
3,3,93.661,8.206
4,4,73.444,7.377
5,5,94.26,8.153
6,6,67.442,6.68
7,7,69.639,6.796
8,8,86.257,7.947
9,9,98.868,8.58
10,10,73.249,6.921
11,11,89.859,7.627
12,12,71.446,7.08
13,13,71.858,6.946
14,14,66.439,6.61
15,15,92.649,8.057
16,16,70.847,6.796
17,17,69.84,6.768
18,18,93.46,8.3
19,19,70.843,6.874
