,x,y,z
0,0,47.02,5.646
1,1,47.635,5.764
2,2,49.23,5.863
3,3,45.434,5.699
4,4,42.232,5.491
5,5,44.829,5.683
6,6,46.028,5.671
7,7,41.625,5.504
8,8,43.625,5.624
9,9,56.238,5.955
10,10,47.626,5.828
11,11,49.828,5.984
12,12,49.231,6.047
13,13,57.44,6.494
14,14,45.229,5.927
15,15,56.638,6.057
16,16,44.431,5.549
17,17,45.036,5.686
18,18,47.025,5.863
19,19,49.838,6.012
