,x,y
0,-2.0000000032539123,-2.0000000024693967
1,-1.9930000032539124,-2.0010000024693966
2,-2.0000000032539123,-2.0000000024693967
3,-1.9930000032539124,-2.0010000024693966
4,-2.0000000032539123,-2.0000000024693967
5,-1.9930000032539124,-2.0010000024693966
6,-1.9930000033094515,-2.001000002551983
7,-1.9860000033094516,-2.002000002551983
8,-1.986000002623677,-2.002000002375556
9,-1.9790000026236771,-2.003000002375556
10,-1.9790000027386032,-2.003000002275721
11,-1.9720000027386033,-2.004000002275721
12,-1.972000004381354,-2.004000002496463
13,-1.965000004381354,-2.005000002496463
14,-1.965000003568535,-2.005000002385945
15,-1.9580000035685352,-2.006000002385945
16,-1.9580000035127714,-2.0060000022814397
17,-1.9510000035127715,-2.0070000022814396
18,-1.9510000125719893,-2.0070000013496485
19,-1.9440000125719894,-2.0080000013496484
20,-1.9440000034556113,-2.00800000214035
21,-1.9370000034556114,-2.00900000214035
22,-2.000000000913127,-2.0000000051420943
23,-1.993000000913127,-2.001000005142094
24,-1.993000003311323,-2.0010000025499357
25,-1.9860000033113232,-2.0020000025499356
26,-1.9860000032572585,-2.0020000024427027
27,-1.9790000032572586,-2.0030000024427026
28,-1.9789999942491419,-2.003000003167449
29,-1.971999994249142,-2.004000003167449
30,-1.9720000031868052,-2.0040000023509905
31,-1.9650000031868053,-2.0050000023509904
32,-1.9650000031551125,-2.005000002370588
33,-1.9580000031551126,-2.006000002370588
34,-1.9580000031555114,-2.0060000023705866
35,-1.9510000031555115,-2.0070000023705865
36,-1.9510000031558952,-2.007000002370585
37,-1.9440000031558953,-2.008000002370585
38,-1.9440000031563016,-2.0080000023705837
39,-1.9370000031563017,-2.0090000023705836
40,-1.9370000031567118,-2.009000002395902
41,-1.930000003156712,-2.010000002395902
42,-1.930000003157122,-2.0100000023705835
43,-1.9230000031571222,-2.0110000023705834
44,-1.923000003157536,-2.011000002370582
45,-1.9160000031575362,-2.012000002370582
46,-1.9160000031579538,-2.0120000023959004
47,-1.909000003157954,-2.0130000023959003
48,-1.9090000031583716,-2.013000002370582
49,-1.9020000031583717,-2.0140000023705817
50,-1.9020000031587554,-2.0140000023705804
51,-1.8950000031587555,-2.0150000023705803
52,-1.8950000031591467,-2.015000002370579
53,-1.8880000031591468,-2.016000002370579
54,-1.8880000031595419,-2.0160000023958973
55,-1.881000003159542,-2.017000002395897
56,-1.8810000031599408,-2.0170000023958985
57,-1.8740000031599409,-2.0180000023958984
58,-1.8740000031603472,-2.0180000023958997
59,-1.8670000031603473,-2.0190000023958996
60,-1.8670000031607537,-2.019000002395901
61,-1.8600000031607538,-2.020000002395901
62,-1.8600000031611676,-2.020000002395902
63,-1.8530000031611678,-2.021000002395902
64,-1.8530000031615816,-2.0210000023959034
65,-1.8460000031615817,-2.0220000023959033
66,-1.8460000031619994,-2.022000002370585
67,-1.8390000031619995,-2.0230000023705847
68,-1.8390000031623832,-2.0230000023705834
69,-1.8320000031623833,-2.0240000023705833
