,x,y,z
0,0,38.407,5.595
1,1,38.391,5.57
2,2,38.776,5.625
3,3,37.526,5.509
4,4,38.178,5.597
5,5,38.367,5.613
6,6,38.191,5.604
7,7,35.749,5.231
8,8,34.971,5.038
9,9,38.395,5.603
10,10,38.196,5.576
11,11,38.389,5.606
12,12,38.412,5.569
13,13,38.555,5.69
14,14,36.128,5.193
15,15,35.567,5.146
16,16,35.147,5.096
17,17,38.977,5.699
18,18,35.311,5.158
19,19,38.945,5.674
