,x,y
0,-1.972000003221836,-2.0040000024692497
1,-1.9650000032218362,-2.0050000024692496
2,-1.972000003221836,-2.0040000024692497
3,-1.9650000032218362,-2.0050000024692496
4,-1.9650000032224086,-2.0050000024692483
5,-1.9580000032224087,-2.006000002469248
6,-1.9580000032229774,-2.0060000024945666
7,-1.9510000032229775,-2.0070000024945664
8,-1.9510000032233952,-2.007000002469248
9,-1.9440000032233953,-2.008000002469248
10,-1.944000003223779,-2.0080000024692466
11,-1.937000003223779,-2.0090000024692465
12,-1.9370000032241703,-2.009000002469245
13,-1.9300000032241704,-2.010000002469245
14,-1.930000003224739,-2.0100000024945635
15,-1.9230000032247392,-2.0110000024945633
16,-2.000000008609675,-2.0000000078227442
17,-1.9930000086096753,-2.001000007822744
18,-1.9930000132096444,-2.0010000030934227
19,-1.9860000132096445,-2.0020000030934226
20,-1.986000003848354,-2.0020000029571956
21,-1.9790000038483542,-2.0030000029571955
22,-1.9789999994935723,-2.0030000055504247
23,-1.9719999994935724,-2.0040000055504246
24,-1.972000004413455,-2.004000003369478
25,-1.965000004413455,-2.005000003369478
26,-1.965000004941944,-2.005000003785814
27,-1.9580000049419441,-2.0060000037858137
28,-1.9580000051957622,-2.0060000035720034
29,-1.9510000051957623,-2.0070000035720033
30,-1.9579999962967924,-2.0060000039751475
31,-1.9509999962967925,-2.0070000039751474
32,-1.951000013489992,-2.0070000033176765
33,-1.9440000134899922,-2.0080000033176764
34,-1.944000005160852,-2.008000003428284
35,-1.937000005160852,-2.0090000034282838
36,-1.937000005130157,-2.009000003472219
37,-1.9300000051301571,-2.0100000034722187
38,-1.9300000051305672,-2.0100000034469003
39,-1.9230000051305673,-2.0110000034469
40,-1.923000005130951,-2.011000003446899
41,-1.9160000051309511,-2.0120000034468988
42,-1.9160000051313386,-2.012000003472217
43,-1.9090000051313387,-2.013000003472217
44,-1.90900000513173,-2.0130000034722184
45,-1.90200000513173,-2.0140000034722183
46,-1.902000005132125,-2.0140000034469
47,-1.8950000051321252,-2.0150000034469
48,-1.895000005132524,-2.0150000034468984
49,-1.888000005132524,-2.0160000034468983
50,-1.8880000051329267,-2.0160000034722168
51,-1.8810000051329268,-2.0170000034722166
52,-1.881000005133333,-2.017000003472218
53,-1.8740000051333332,-2.018000003472218
54,-1.874000005133747,-2.018000003472219
55,-1.8670000051337472,-2.019000003472219
56,-1.8670000051341535,-2.0190000034722204
57,-1.8600000051341536,-2.0200000034722203
58,-1.8600000051345638,-2.020000003446902
59,-1.8530000051345639,-2.021000003446902
60,-1.853000005134974,-2.02100000347222
61,-1.846000005134974,-2.02200000347222
62,-1.8460000051353918,-2.0220000034469017
63,-1.8390000051353919,-2.0230000034469016
64,-1.8390000051357793,-2.02300000347222
65,-1.8320000051357794,-2.02400000347222
66,-1.832000005136167,-2.0240000034469015
67,-1.825000005136167,-2.0250000034469013
68,-1.825000005136562,-2.0250000034722198
69,-1.8180000051365621,-2.0260000034722196
70,-1.818000005136961,-2.026000003472221
71,-1.811000005136961,-2.027000003472221
72,-1.8110000051373674,-2.027000003472222
73,-1.8040000051373675,-2.028000003472222
74,-1.8040000051377738,-2.0280000034722234
75,-1.797000005137774,-2.0290000034722233
76,-1.797000005138184,-2.029000003446905
77,-1.7900000051381841,-2.030000003446905
78,-1.7900000051385905,-2.0300000034469035
79,-1.7830000051385906,-2.0310000034469033
80,-1.783000005138997,-2.031000003446902
81,-1.776000005138997,-2.032000003446902
82,-1.7760000051394034,-2.0320000034469006
83,-1.7690000051394035,-2.0330000034469005
84,-1.7690000051398211,-2.033000003472219
85,-1.7620000051398212,-2.0340000034722188
86,-1.7620000051402427,-2.03400000347222
87,-1.7550000051402428,-2.03500000347222
88,-1.7550000051406303,-2.0350000034469016
89,-1.7480000051406304,-2.0360000034469015
90,-1.7480000051410216,-2.0360000034469
91,-1.7410000051410217,-2.0370000034469
92,-1.7410000051414205,-2.0370000034468987
93,-1.7340000051414206,-2.0380000034468986
94,-1.734000005141827,-2.0380000034468972
95,-1.727000005141827,-2.039000003446897
96,-1.727000005142241,-2.039000003446896
97,-1.720000005142241,-2.0400000034468957
98,-1.7200000051426436,-2.040000003472214
99,-1.7130000051426437,-2.041000003472214
100,-1.71300000514305,-2.0410000034722153
101,-1.7060000051430502,-2.042000003472215
102,-1.7060000051434603,-2.042000003446897
103,-1.6990000051434604,-2.0430000034468967
104,-1.699000005143878,-2.043000003472215
105,-1.6920000051438782,-2.044000003472215
106,-1.6920000051444468,-2.0440000034468966
107,-1.685000005144447,-2.0450000034468965
108,-1.6850000051448306,-2.045000003446895
109,-1.6780000051448307,-2.046000003446895
110,-1.6780000051452182,-2.0460000034722134
111,-1.6710000051452183,-2.0470000034722133
112,-1.671000005145602,-2.0470000034722147
113,-1.664000005145602,-2.0480000034722146
114,-1.6640000051459933,-2.048000003472216
115,-1.6570000051459934,-2.049000003472216
116,-1.6570000051463885,-2.0490000034468974
117,-1.6500000051463886,-2.0500000034468973
118,-1.6500000051467911,-2.0500000034722157
119,-1.6430000051467912,-2.0510000034722156
120,-1.6430000051471938,-2.051000003446897
121,-1.636000005147194,-2.052000003446897
122,-1.6360000051475965,-2.0520000034722155
123,-1.6290000051475966,-2.0530000034722153
124,-1.6290000051480067,-2.053000003446897
125,-1.6220000051480068,-2.054000003446897
126,-1.6220000051484094,-2.0540000034722152
127,-1.6150000051484095,-2.055000003472215
128,-1.6150000051488234,-2.0550000034722165
129,-1.6080000051488235,-2.0560000034722163
130,-1.6080000051492411,-2.056000003446898
131,-1.6010000051492412,-2.057000003446898
132,-1.6010000051496627,-2.0570000034468965
133,-1.5940000051496628,-2.0580000034468964
134,-1.5940000051500502,-2.058000003472215
135,-1.5870000051500504,-2.0590000034722147
136,-1.5870000051504378,-2.0590000034468963
137,-1.580000005150438,-2.060000003446896
138,-1.5800000051508254,-2.0600000034722146
139,-1.5730000051508255,-2.0610000034722145
140,-1.573000005151213,-2.061000003446896
141,-1.566000005151213,-2.062000003446896
142,-1.566000005151608,-2.0620000034722143
143,-1.5590000051516082,-2.0630000034722142
144,-1.5590000051520032,-2.063000003446896
145,-1.5520000051520033,-2.0640000034468957
146,-1.5520000051525493,-2.064000003472214
147,-1.5450000051525494,-2.065000003472214
148,-1.545000005152986,-2.0650000034722154
149,-1.538000005152986,-2.0660000034722152
150,-1.5380000051533924,-2.0660000034722166
151,-1.5310000051533925,-2.0670000034722165
152,-1.5310000051538026,-2.067000003446898
153,-1.5240000051538027,-2.068000003446898
154,-1.5240000051542166,-2.0680000034468966
155,-1.5170000051542167,-2.0690000034468965
156,-1.5170000051546004,-2.069000003446895
157,-1.5100000051546005,-2.070000003446895
158,-1.510000005154988,-2.0700000034722135
159,-1.503000005154988,-2.0710000034722134
160,-1.503000005155387,-2.0710000034722147
161,-1.496000005155387,-2.0720000034722146
162,-1.4960000051557933,-2.072000003472216
163,-1.4890000051557934,-2.073000003472216
164,-1.489000005156196,-2.0730000034468974
165,-1.4820000051561961,-2.0740000034468973
166,-1.4820000051566025,-2.074000003446896
167,-1.4750000051566026,-2.075000003446896
168,-1.4750000051570127,-2.0750000034722142
169,-1.4680000051570128,-2.076000003472214
170,-1.4680000051574267,-2.0760000034722155
171,-1.4610000051574268,-2.0770000034722154
172,-1.4610000051578407,-2.0770000034722167
173,-1.4540000051578408,-2.0780000034722166
174,-1.4540000051583906,-2.078000003472218
